odtaz_timeslot,o2d_taz,timeslot,ODcount
"惠济桥-惠济桥,9-17",惠济桥-惠济桥,9-17,6
"惠济桥-阊门桥,17-19",惠济桥-阊门桥,17-19,18
"惠济桥-阊门桥,7-9",惠济桥-阊门桥,7-9,18
"惠济桥-1001,17-19",惠济桥-1001,17-19,6
"惠济桥-1002,19-24",惠济桥-1002,19-24,6
"惠济桥-1003,19-24",惠济桥-1003,19-24,12
"惠济桥-1004,0-7",惠济桥-1004,0-7,6
"惠济桥-1004,7-9",惠济桥-1004,7-9,6
"惠济桥-1005,9-17",惠济桥-1005,9-17,6
"惠济桥-1009,0-7",惠济桥-1009,0-7,6
"惠济桥-1009,7-9",惠济桥-1009,7-9,6
"惠济桥-101,9-17",惠济桥-101,9-17,6
"惠济桥-景德桥,19-24",惠济桥-景德桥,19-24,6
"惠济桥-1013,17-19",惠济桥-1013,17-19,6
"惠济桥-1013,9-17",惠济桥-1013,9-17,6
"惠济桥-阊门桥,9-17",惠济桥-阊门桥,9-17,12
"惠济桥-104,17-19",惠济桥-104,17-19,18
"惠济桥-104,7-9",惠济桥-104,7-9,12
"惠济桥-107,19-24",惠济桥-107,19-24,6
"惠济桥-112,9-17",惠济桥-112,9-17,6
"惠济桥-姑胥桥,0-7",惠济桥-姑胥桥,0-7,12
"惠济桥-姑胥桥,9-17",惠济桥-姑胥桥,9-17,12
"惠济桥-116,0-7",惠济桥-116,0-7,6
"惠济桥-12,9-17",惠济桥-12,9-17,6
"惠济桥-相门桥,19-24",惠济桥-相门桥,19-24,6
"惠济桥-131,19-24",惠济桥-131,19-24,6
"惠济桥-135,19-24",惠济桥-135,19-24,6
"惠济桥-新市桥,0-7",惠济桥-新市桥,0-7,18
"惠济桥-新市桥,19-24",惠济桥-新市桥,19-24,6
"惠济桥-新市桥,9-17",惠济桥-新市桥,9-17,12
"惠济桥-144,17-19",惠济桥-144,17-19,6
"惠济桥-144,7-9",惠济桥-144,7-9,12
"惠济桥-145,17-19",惠济桥-145,17-19,6
"惠济桥-人民桥,0-7",惠济桥-人民桥,0-7,6
"惠济桥-156,9-17",惠济桥-156,9-17,6
"惠济桥-161,9-17",惠济桥-161,9-17,6
"惠济桥-164,19-24",惠济桥-164,19-24,12
"惠济桥-164,9-17",惠济桥-164,9-17,36
"惠济桥-165,9-17",惠济桥-165,9-17,12
"惠济桥-金门路,19-24",惠济桥-金门路,19-24,24
"惠济桥-金门路,9-17",惠济桥-金门路,9-17,30
"惠济桥-172,0-7",惠济桥-172,0-7,6
"惠济桥-176,9-17",惠济桥-176,9-17,6
"惠济桥-景德桥,19-24",惠济桥-景德桥,19-24,6
"惠济桥-199,0-7",惠济桥-199,0-7,6
"惠济桥-199,19-24",惠济桥-199,19-24,6
"惠济桥-2,17-19",惠济桥-2,17-19,36
"惠济桥-2,7-9",惠济桥-2,7-9,18
"惠济桥-20,9-17",惠济桥-20,9-17,6
"惠济桥-200,9-17",惠济桥-200,9-17,6
"惠济桥-人民桥,19-24",惠济桥-人民桥,19-24,18
"惠济桥-人民桥,9-17",惠济桥-人民桥,9-17,18
"惠济桥-人民桥,17-19",惠济桥-人民桥,17-19,12
"惠济桥-人民桥,7-9",惠济桥-人民桥,7-9,6
"惠济桥-204,0-7",惠济桥-204,0-7,6
"惠济桥-竹辉路,19-24",惠济桥-竹辉路,19-24,6
"惠济桥-竹辉路,19-24",惠济桥-竹辉路,19-24,6
"惠济桥-金门路,7-9",惠济桥-金门路,7-9,6
"惠济桥-22,7-9",惠济桥-22,7-9,6
"惠济桥-23,19-24",惠济桥-23,19-24,6
"惠济桥-29,7-9",惠济桥-29,7-9,6
"惠济桥-3,17-19",惠济桥-3,17-19,30
"惠济桥-3,7-9",惠济桥-3,7-9,36
"惠济桥-干将桥（干将西路）,19-24",惠济桥-干将桥（干将西路）,19-24,6
"惠济桥-干将桥（干将西路）,9-17",惠济桥-干将桥（干将西路）,9-17,6
"惠济桥-33,7-9",惠济桥-33,7-9,6
"惠济桥-干将桥（干将西路）,19-24",惠济桥-干将桥（干将西路）,19-24,6
"惠济桥-39,19-24",惠济桥-39,19-24,6
"惠济桥-44,9-17",惠济桥-44,9-17,6
"惠济桥-齐门桥,0-7",惠济桥-齐门桥,0-7,18
"惠济桥-齐门桥,19-24",惠济桥-齐门桥,19-24,72
"惠济桥-齐门桥,9-17",惠济桥-齐门桥,9-17,72
"惠济桥-47,19-24",惠济桥-47,19-24,12
"惠济桥-47,9-17",惠济桥-47,9-17,42
"惠济桥-56,7-9",惠济桥-56,7-9,6
"惠济桥-6,19-24",惠济桥-6,19-24,6
"惠济桥-69,0-7",惠济桥-69,0-7,6
"惠济桥-惠济桥,17-19",惠济桥-惠济桥,17-19,36
"惠济桥-惠济桥,7-9",惠济桥-惠济桥,7-9,36
"惠济桥-70,9-17",惠济桥-70,9-17,6
"惠济桥-73,9-17",惠济桥-73,9-17,6
"惠济桥-77,9-17",惠济桥-77,9-17,6
"惠济桥-81,9-17",惠济桥-81,9-17,6
"惠济桥-齐门桥,17-19",惠济桥-齐门桥,17-19,6
