,Unnamed: 0,odtaz_timeslot,o2d_taz,timeslot,ODcount,o_taz,d_taz,df_o,df_d
0,0,"10012-10012,9-17",10012-10011,9-17,6,10012,10011,1,1
1,1,"10012-10011,17-19",10012-10011,17-19,18,10012,10011,1,1
2,2,"10012-10011,7-9",10012-10011,7-9,18,10012,10011,1,1
3,3,"10012-1001,17-19",10012-97,17-19,6,10012,97,1,1
4,4,"10012-1002,19-24",10012-113,19-24,6,10012,113,1,1
5,5,"10012-1003,19-24",10012-196,19-24,11,10012,196,1,1
6,6,"10012-1004,0-7",10012-208,0-7,6,10012,208,1,1
7,7,"10012-1004,7-9",10012-208,7-9,6,10012,208,1,1
8,8,"10012-1005,9-17",10012-1005,9-17,6,10012,1005,1,1
9,9,"10012-1009,0-7",10012-1009,0-7,6,10012,1009,1,1
10,10,"10012-1009,7-9",10012-1009,7-9,6,10012,1009,1,1
11,11,"10012-101,9-17",10012-101,9-17,6,10012,101,1,1
12,12,"10012-10009,19-24",10012-10009,19-24,6,10012,10009,1,1
13,13,"10012-1013,17-19",10012-1013,17-19,6,10012,1013,1,1
14,14,"10012-1013,9-17",10012-1013,9-17,6,10012,1013,1,1
15,15,"10012-10011,9-17",10012-10011,9-17,12,10012,10011,1,1
16,16,"10012-104,17-19",10012-93,17-19,17,10012,93,1,1
17,17,"10012-104,7-9",10012-93,7-9,11,10012,93,1,1
18,18,"10012-107,19-24",10012-107,19-24,6,10012,107,1,1
19,19,"10012-112,9-17",10012-112,9-17,6,10012,112,1,1
20,20,"10012-10007,0-7",10012-10007,0-7,12,10012,10007,1,1
21,21,"10012-10007,9-17",10012-10007,9-17,12,10012,10007,1,1
22,22,"10012-116,0-7",10012-116,0-7,6,10012,116,1,1
23,23,"10012-12,9-17",10012-18,9-17,6,10012,18,1,1
24,24,"10012-10001,19-24",10012-10001,19-24,6,10012,10001,1,1
25,25,"10012-131,19-24",10012-131,19-24,6,10012,131,1,1
26,26,"10012-135,19-24",10012-135,19-24,6,10012,135,1,1
27,27,"10012-10006,0-7",10012-10006,0-7,18,10012,10006,1,1
28,28,"10012-10006,19-24",10012-10006,19-24,6,10012,10006,1,1
29,29,"10012-10006,9-17",10012-10006,9-17,12,10012,10006,1,1
30,30,"10012-144,17-19",10012-143,17-19,6,10012,143,1,1
31,31,"10012-144,7-9",10012-143,7-9,11,10012,143,1,1
32,32,"10012-145,17-19",10012-145,17-19,6,10012,145,1,1
33,33,"10012-10005,0-7",10012-10005,0-7,6,10012,10005,1,1
34,34,"10012-156,9-17",10012-156,9-17,6,10012,156,1,1
35,35,"10012-161,9-17",10012-161,9-17,6,10012,161,1,1
36,36,"10012-164,19-24",10012-166,19-24,11,10012,166,1,1
37,37,"10012-164,9-17",10012-166,9-17,33,10012,166,1,1
38,38,"10012-165,9-17",10012-165,9-17,11,10012,165,1,1
39,39,"10012-10010,19-24",10012-10010,19-24,24,10012,10010,1,1
40,40,"10012-10010,9-17",10012-10010,9-17,30,10012,10010,1,1
41,41,"10012-172,0-7",10012-172,0-7,6,10012,172,1,1
42,42,"10012-176,9-17",10012-190,9-17,6,10012,190,1,1
43,43,"10012-10009,19-24",10012-10009,19-24,6,10012,10009,1,1
44,44,"10012-199,0-7",10012-200,0-7,6,10012,200,1,1
45,45,"10012-199,19-24",10012-200,19-24,6,10012,200,1,1
46,46,"10012-2,17-19",10012-2,17-19,33,10012,2,1,1
47,47,"10012-2,7-9",10012-2,7-9,17,10012,2,1,1
48,48,"10012-20,9-17",10012-20,9-17,6,10012,20,1,1
49,49,"10012-200,9-17",10012-200,9-17,6,10012,200,1,1
50,50,"10012-10005,19-24",10012-10005,19-24,18,10012,10005,1,1
51,51,"10012-10005,9-17",10012-10005,9-17,18,10012,10005,1,1
52,52,"10012-10005,17-19",10012-10005,17-19,12,10012,10005,1,1
53,53,"10012-10005,7-9",10012-10005,7-9,6,10012,10005,1,1
