odtaz_timeslot,o2d_taz,timeslot,ODcount
"1-1,0-7",1-1,0-7,24
"1-1,17-19",1-1,17-19,12
"1-1,19-24",1-1,19-24,24
"1-1,7-9",1-1,7-9,24
"1-1,9-17",1-1,9-17,12
"1-10,0-7",1-10,0-7,12
"1-10,17-19",1-10,17-19,36
"1-10,19-24",1-10,19-24,24
"1-10,7-9",1-10,7-9,24
"1-10,9-17",1-10,9-17,84
"1-1001,9-17",1-1001,9-17,12
"1-1002,19-24",1-1002,19-24,12
"1-1002,9-17",1-1002,9-17,12
"1-1004,7-9",1-1004,7-9,11
"1-1008,7-9",1-1008,7-9,36
"1-1009,0-7",1-1009,0-7,12
"1-1009,19-24",1-1009,19-24,36
"1-1009,7-9",1-1009,7-9,12
"1-1009,9-17",1-1009,9-17,36
"1-101,9-17",1-101,9-17,12
"1-1010,0-7",1-1010,0-7,12
"1-1010,19-24",1-1010,19-24,12
"1-1013,0-7",1-1013,0-7,12
"1-1013,17-19",1-1013,17-19,12
"1-1013,7-9",1-1013,7-9,12
"1-1013,9-17",1-1013,9-17,12
"1-1015,9-17",1-1015,9-17,24
"1-104,17-19",1-104,17-19,11
"1-104,19-24",1-104,19-24,12
"1-104,7-9",1-104,7-9,24
"1-104,9-17",1-104,9-17,22
"1-110,19-24",1-110,19-24,12
"1-113,0-7",1-113,0-7,12
"1-114,0-7",1-114,0-7,24
"1-114,19-24",1-114,19-24,12
"1-115,0-7",1-115,0-7,12
"1-116,0-7",1-116,0-7,12
"1-116,9-17",1-116,9-17,12
"1-126,7-9",1-126,7-9,12
"1-131,19-24",1-131,19-24,12
"1-142,0-7",1-142,0-7,12
"1-142,19-24",1-142,19-24,12
"1-142,9-17",1-142,9-17,9
"1-144,17-19",1-144,17-19,12
"1-144,19-24",1-144,19-24,24
"1-144,7-9",1-144,7-9,21
"1-146,9-17",1-146,9-17,12
"1-148,0-7",1-148,0-7,12
"1-156,9-17",1-156,9-17,12
"1-160,0-7",1-160,0-7,24
"1-164,17-19",1-164,17-19,12
"1-164,9-17",1-164,9-17,12
"1-165,7-9",1-165,7-9,12
"1-17,17-19",1-17,17-19,12
"1-17,19-24",1-17,19-24,48
"1-17,7-9",1-17,7-9,36
"1-17,9-17",1-17,9-17,60
"1-171,9-17",1-171,9-17,12
"1-172,0-7",1-172,0-7,12
"1-19,19-24",1-19,19-24,12
"1-199,0-7",1-199,0-7,12
"1-2,0-7",1-2,0-7,24
"1-2,17-19",1-2,17-19,60
"1-2,19-24",1-2,19-24,60
"1-2,7-9",1-2,7-9,36
"1-2,9-17",1-2,9-17,96
"1-20,9-17",1-20,9-17,12
"1-201,0-7",1-201,0-7,12
"1-201,9-17",1-201,9-17,19
"1-202,0-7",1-202,0-7,12
"1-204,0-7",1-204,0-7,12
"1-21,19-24",1-21,19-24,12
"1-21,7-9",1-21,7-9,12
"1-21,9-17",1-21,9-17,36
"1-22,7-9",1-22,7-9,12
"1-22,9-17",1-22,9-17,12
"1-23,19-24",1-23,19-24,12
"1-29,7-9",1-29,7-9,12
"1-3,0-7",1-3,0-7,36
"1-3,17-19",1-3,17-19,60
"1-3,19-24",1-3,19-24,60
"1-3,7-9",1-3,7-9,72
"1-3,9-17",1-3,9-17,252
"1-32,19-24",1-32,19-24,12
"1-32,7-9",1-32,7-9,24
"1-32,9-17",1-32,9-17,12
"1-33,19-24",1-33,19-24,12
"1-33,7-9",1-33,7-9,12
"1-33,9-17",1-33,9-17,12
"1-37,19-24",1-37,19-24,12
"1-39,19-24",1-39,19-24,12
"1-44,9-17",1-44,9-17,12
"1-45,17-19",1-45,17-19,12
"1-46,0-7",1-46,0-7,36
"1-46,17-19",1-46,17-19,96
"1-46,19-24",1-46,19-24,144
"1-46,7-9",1-46,7-9,132
"1-46,9-17",1-46,9-17,144
"1-47,0-7",1-47,0-7,36
"1-47,19-24",1-47,19-24,24
"1-47,7-9",1-47,7-9,60
"1-47,9-17",1-47,9-17,84
"1-54,9-17",1-54,9-17,12
"1-56,7-9",1-56,7-9,12
"1-58,9-17",1-58,9-17,22
"1-6,19-24",1-6,19-24,12
"1-69,0-7",1-69,0-7,12
"1-7,0-7",1-7,0-7,48
"1-7,17-19",1-7,17-19,72
"1-7,19-24",1-7,19-24,60
"1-7,7-9",1-7,7-9,72
"1-7,9-17",1-7,9-17,132
"1-71,19-24",1-71,19-24,12
"1-75,17-19",1-75,17-19,24
"1-77,9-17",1-77,9-17,24
"1-80,9-17",1-80,9-17,12
"1-81,9-17",1-81,9-17,24
"1-83,0-7",1-83,0-7,36
"1-83,17-19",1-83,17-19,12
"1-83,7-9",1-83,7-9,24
"1-83,9-17",1-83,9-17,48
"1-84,0-7",1-84,0-7,72
"1-84,17-19",1-84,17-19,96
"1-84,19-24",1-84,19-24,84
"1-84,7-9",1-84,7-9,108
"1-84,9-17",1-84,9-17,168
"1-85,0-7",1-85,0-7,60
"1-85,17-19",1-85,17-19,204
"1-85,19-24",1-85,19-24,264
"1-85,7-9",1-85,7-9,180
"1-85,9-17",1-85,9-17,696
"1-86,17-19",1-86,17-19,12
"1-86,19-24",1-86,19-24,12
"1-87,0-7",1-87,0-7,24
"1-87,17-19",1-87,17-19,36
"1-87,7-9",1-87,7-9,24
"1-87,9-17",1-87,9-17,24
"1-98,7-9",1-98,7-9,12
"10-1,17-19",10-1,17-19,48
"10-1,19-24",10-1,19-24,24
"10-1,7-9",10-1,7-9,24
"10-1,9-17",10-1,9-17,60
"10-10,0-7",10-10,0-7,12
"10-10,9-17",10-10,9-17,12
"10-1003,19-24",10-1003,19-24,12
"10-1005,0-7",10-1005,0-7,12
"10-1008,9-17",10-1008,9-17,12
"10-1009,0-7",10-1009,0-7,12
"10-1009,17-19",10-1009,17-19,12
"10-1009,19-24",10-1009,19-24,12
"10-1009,7-9",10-1009,7-9,12
"10-1009,9-17",10-1009,9-17,48
"10-101,19-24",10-101,19-24,12
"10-1011,9-17",10-1011,9-17,12
"10-1013,17-19",10-1013,17-19,24
"10-1013,7-9",10-1013,7-9,24
"10-1013,9-17",10-1013,9-17,36
"10-1015,17-19",10-1015,17-19,12
"10-1015,7-9",10-1015,7-9,12
"10-104,0-7",10-104,0-7,12
"10-104,19-24",10-104,19-24,12
"10-104,9-17",10-104,9-17,12
"10-114,19-24",10-114,19-24,12
"10-114,7-9",10-114,7-9,12
"10-114,9-17",10-114,9-17,24
"10-116,7-9",10-116,7-9,12
"10-118,19-24",10-118,19-24,12
"10-123,7-9",10-123,7-9,12
"10-123,9-17",10-123,9-17,36
"10-127,9-17",10-127,9-17,12
"10-128,0-7",10-128,0-7,12
"10-128,9-17",10-128,9-17,12
"10-129,19-24",10-129,19-24,12
"10-132,7-9",10-132,7-9,12
"10-138,17-19",10-138,17-19,12
"10-139,19-24",10-139,19-24,12
"10-139,9-17",10-139,9-17,12
"10-140,9-17",10-140,9-17,12
"10-142,17-19",10-142,17-19,12
"10-144,0-7",10-144,0-7,12
"10-144,19-24",10-144,19-24,12
"10-144,7-9",10-144,7-9,12
"10-145,0-7",10-145,0-7,12
"10-151,7-9",10-151,7-9,12
"10-156,19-24",10-156,19-24,12
"10-160,7-9",10-160,7-9,24
"10-161,9-17",10-161,9-17,12
"10-163,19-24",10-163,19-24,10
"10-17,17-19",10-17,17-19,12
"10-17,19-24",10-17,19-24,12
"10-17,7-9",10-17,7-9,12
"10-17,9-17",10-17,9-17,24
"10-18,17-19",10-18,17-19,12
"10-18,19-24",10-18,19-24,12
"10-18,9-17",10-18,9-17,24
"10-19,7-9",10-19,7-9,12
"10-2,17-19",10-2,17-19,12
"10-2,19-24",10-2,19-24,36
"10-2,9-17",10-2,9-17,24
"10-200,0-7",10-200,0-7,12
"10-21,9-17",10-21,9-17,12
"10-22,0-7",10-22,0-7,12
"10-22,7-9",10-22,7-9,12
"10-22,9-17",10-22,9-17,36
"10-24,19-24",10-24,19-24,12
"10-24,7-9",10-24,7-9,12
"10-26,17-19",10-26,17-19,12
"10-3,0-7",10-3,0-7,36
"10-3,17-19",10-3,17-19,300
"10-3,19-24",10-3,19-24,384
"10-3,7-9",10-3,7-9,468
"10-3,9-17",10-3,9-17,504
"10-32,7-9",10-32,7-9,12
"10-33,17-19",10-33,17-19,24
"10-33,9-17",10-33,9-17,12
"10-37,9-17",10-37,9-17,12
"10-39,17-19",10-39,17-19,12
"10-4,9-17",10-4,9-17,12
"10-45,19-24",10-45,19-24,12
"10-46,0-7",10-46,0-7,34
"10-46,17-19",10-46,17-19,36
"10-46,19-24",10-46,19-24,48
"10-46,7-9",10-46,7-9,12
"10-46,9-17",10-46,9-17,132
"10-47,17-19",10-47,17-19,24
"10-47,19-24",10-47,19-24,36
"10-47,7-9",10-47,7-9,12
"10-52,9-17",10-52,9-17,12
"10-54,0-7",10-54,0-7,12
"10-54,17-19",10-54,17-19,12
"10-6,9-17",10-6,9-17,12
"10-61,9-17",10-61,9-17,12
"10-7,0-7",10-7,0-7,72
"10-7,17-19",10-7,17-19,72
"10-7,19-24",10-7,19-24,84
"10-7,7-9",10-7,7-9,72
"10-7,9-17",10-7,9-17,264
"10-72,7-9",10-72,7-9,12
"10-79,9-17",10-79,9-17,24
"10-81,0-7",10-81,0-7,12
"10-81,19-24",10-81,19-24,24
"10-83,17-19",10-83,17-19,24
"10-83,19-24",10-83,19-24,12
"10-83,9-17",10-83,9-17,12
"10-84,17-19",10-84,17-19,24
"10-84,19-24",10-84,19-24,24
"10-84,7-9",10-84,7-9,48
"10-84,9-17",10-84,9-17,12
"10-85,0-7",10-85,0-7,48
"10-85,17-19",10-85,17-19,36
