edge_id,from_node_id,to_node_id,区域ID,区域名,方向,车道数,长度,轨迹,judgment,道路名称,道路等级
'--296360974#1.21',cluster_cluster_gneJ289_gneJ292_gneJ339_gneJ341_gneJ342_gneJ343_gneJ344_gneJ345_gneJ340,4508903756,320508,姑苏区,东E,3,67.05,"MULTILINESTRING((120.61804862909631 31.31023785680373, 120.61874027632301 31.310350353553304))",driveway,富仁坊巷,巷（弄）
'--296360974#2',4508903756,cluster_4095734717_gneJ194,320508,姑苏区,东E,3,91.92,"MULTILINESTRING((120.61874435544246 31.310351060580675, 120.61968860981146 31.310523526532112))",driveway,富仁坊巷,巷（弄）
'--805819275#2',cluster_cluster_gneJ15_gneJ16_gneJ17_gneJ18_cluster_gneJ21_gneJ22_gneJ23_gneJ24_gneJ25,cluster_gneJ11_gneJ12_gneJ13,320508,姑苏区,南S,2,87.66,"MULTILINESTRING((120.61670992715896 31.308021885475473, 120.61685359133479 31.3072644167939, 120.616861940088 31.307241572906705))",non-driveway,三山街,巷（弄）
'--gneE14.233',cluster_gneJ115_gneJ27,cluster_cluster_430312151_4451401336_gneJ158,320508,姑苏区,南S,4,53.86,"MULTILINESTRING((120.6150491889963 31.323702237939063, 120.61519114440038 31.323355925354747, 120.61524012078033 31.323255279945133))",driveway,人民路,主干路
'-112973829#0',430312134,430312133,320508,姑苏区,北N,3,118.32,"MULTILINESTRING((120.61026619473341 31.31732338474753, 120.61012521698468 31.318333338807104, 120.61011891910671 31.31838300719686))",driveway,中街路,次干路
'-112973829#2',cluster_4463418355_7500042921,430312134,320508,姑苏区,北N,3,109.02,"MULTILINESTRING((120.6104392345465 31.316316642888633, 120.6102715778858 31.31728912204588))",driveway,中街路,次干路
'-112973829#4',cluster_3023685093_4463418342,cluster_4463418355_7500042921,320508,姑苏区,北N,3,60.52,"MULTILINESTRING((120.61056369465372 31.315631701207764, 120.61046560772921 31.316170933577407))",driveway,中街路,次干路
'-112973829#6',4508903910,cluster_3023685093_4463418342,320508,姑苏区,北N,3,96.56,"MULTILINESTRING((120.61076283166344 31.314731058669068, 120.61068896787488 31.31510163324816, 120.61062976778959 31.315361635418675, 120.61057270645885 31.31558686344713))",driveway,中街路,次干路
'-112973829#7',3023685095,4508903910,320508,姑苏区,北N,3,90.58,"MULTILINESTRING((120.61095755833826 31.31392999513361, 120.61076318766435 31.314729441849796))",driveway,中街路,次干路
'-112973829#8',567016187,3023685095,320508,姑苏区,北N,3,146.94,"MULTILINESTRING((120.61128361968072 31.31254558161902, 120.6109780033109 31.31384424282563))",driveway,中街路,次干路
'-112973835#0',4380963560,653812660,320508,姑苏区,北N,3,170.6,"MULTILINESTRING((120.64147991803584 31.298967295299597, 120.64116529665408 31.30048171076601))",driveway,莫邪路,次干路
'-112973835#1',4380953013,4380963560,320508,姑苏区,北N,3,154.41,"MULTILINESTRING((120.64181420710594 31.29760313993162, 120.64167759908507 31.298162079584454, 120.6414802711932 31.298965768513526))",driveway,莫邪路,次干路
'-112973835#2',cluster_266180828_4199009573_7515169232,4380953013,320508,姑苏区,北N,4,125.65,"MULTILINESTRING((120.64204655434027 31.296426425169923, 120.64211563048715 31.296617639698844, 120.64198945412214 31.29708684937448, 120.64186493149828 31.297540215329303))",driveway,莫邪路,次干路
'-117947971#2',cluster_5114639844_566899809,4463434118,320508,姑苏区,北N,3,106.33,"MULTILINESTRING((120.6365604440877 31.296012391765426, 120.63643194407673 31.296964803800364))",driveway,相王路,巷（弄）
'-128898259#0',5868813703,1423186282,320508,姑苏区,西W,3,177.01,"MULTILINESTRING((120.6276340213034 31.313908447465966, 120.62724528567848 31.31384714549498, 120.62580831717908 31.313606363357295))",driveway,肖家巷,巷（弄）
'-131443653',cluster_5872723373_gneJ107,cluster_cluster_cluster_566899930_7780453570_cluster_7780453569_803320699_gneJ108,320508,姑苏区,南S,2,92.4,"MULTILINESTRING((120.62747907529163 31.311445234248698, 120.6274800542227 31.311443899464706, 120.62748891459854 31.31142151524582, 120.62749231361101 31.3114032690928, 120.62759426952677 31.310630223592305))",non-driveway,无名,次干路
'-131443655#0',cluster_3023686562_4451401347,7795966673,320508,姑苏区,北N,4,70.46,"MULTILINESTRING((120.62336337786218 31.323658266479246, 120.62322766179713 31.324204749995772, 120.62320854701481 31.32427970605316))",driveway,临顿路,次干路
'-131443655#2',cluster_1446611208_4451401298,cluster_3023686562_4451401347,320508,姑苏区,北N,4,149.32,"MULTILINESTRING((120.62370987231206 31.322170205655706, 120.62340487954583 31.323491007876196))",driveway,临顿路,次干路
'-131443655#4',430312148,cluster_1446611208_4451401298,320508,姑苏区,北N,4,164.3,"MULTILINESTRING((120.6240886505759 31.320467182509173, 120.62376473924178 31.321922562887128))",driveway,临顿路,次干路
'-131443655#5',3023686569,gneJ76,320508,姑苏区,北N,4,61.88,"MULTILINESTRING((120.62429499156482 31.319404844894727, 120.62418975852164 31.319955411938285))",driveway,临顿路,次干路
'-131443655#5.69',gneJ76,430312148,320508,姑苏区,北N,5,30.41,"MULTILINESTRING((120.62420928518841 31.320031264058287, 120.62415752097911 31.32030187332848))",driveway,临顿路,次干路
'-131443655#6',4400766697,3023686569,320508,姑苏区,北N,3,78.43,"MULTILINESTRING((120.62439642894556 31.318628908099086, 120.62427495572376 31.319328352013613))",driveway,临顿路,次干路
'-131443655#7',3023686573,4400766697,320508,姑苏区,北N,3,130.02,"MULTILINESTRING((120.62467202586048 31.317414705615562, 120.62459571748103 31.317671332132768, 120.6245103762213 31.3180198772924, 120.62446116458858 31.318280973730438, 120.62440838426988 31.31856283839128))",driveway,临顿路,次干路
'-131443655#8',430312146,3023686573,320508,姑苏区,北N,3,80.97,"MULTILINESTRING((120.62493776613366 31.3165759690672, 120.62471343270828 31.317280274392576))",driveway,临顿路,次干路
'-131443671#0',567016189,cluster_4198992040_566899896,320508,姑苏区,西W,4,165.06,"MULTILINESTRING((120.61414556246639 31.32963410781585, 120.61243222764543 31.329390915938))",driveway,平齐路,次干路
'-131443671#1',4451401625,567016189,320508,姑苏区,西W,3,125.47,"MULTILINESTRING((120.61561125411264 31.329814862057997, 120.61431118916735 31.329628529403475))",driveway,平齐路,次干路
'-131443671#2',4447556393,4451401625,320508,姑苏区,西W,3,218.29,"MULTILINESTRING((120.61785773791848 31.330216457807712, 120.61610475125393 31.32987814770436, 120.61561512853694 31.32981538502194))",driveway,平齐路,次干路
'-131443671#3',4451401657,4447556393,320508,姑苏区,西W,3,121.95,"MULTILINESTRING((120.61926017833821 31.330502151830196, 120.61801393215806 31.330247497646322))",driveway,平齐路,次干路
'-131443671#4',4451401658,4451401657,320508,姑苏区,西W,3,57.2,"MULTILINESTRING((120.61985625353753 31.330602140651155, 120.61926655746501 31.33050335250564))",driveway,平齐路,次干路
'-131443671#5',7786974568,4451401658,320508,姑苏区,西W,3,105.41,"MULTILINESTRING((120.62094278174695 31.33079492037351, 120.62066730145386 31.330756621100274, 120.6204149387921 31.33070991124836, 120.61985782206763 31.330602440325702))",driveway,平齐路,次干路
'-131445513',3558648346,1446611195,320508,姑苏区,北N,3,85.93,"MULTILINESTRING((120.633042846657 31.31789497236941, 120.63298592600229 31.31820057575184, 120.6329154719059 31.31844243417643, 120.63286654956987 31.3186551067154))",driveway,仓街,巷（弄）
'-131445514#0',4580786338,cluster_cluster_1446611199_7809692840_cluster_1446611201_1446611202,320508,姑苏区,北N,3,76.71,"MULTILINESTRING((120.63276601565639 31.319255014049443, 120.63264719161148 31.319939183992116))",driveway,仓街,巷（弄）
'-131445514#1',1446611195,4580786338,320508,姑苏区,北N,3,60.09,"MULTILINESTRING((120.6328664310211 31.31865564568139, 120.6327767334488 31.31919198708618))",driveway,仓街,巷（弄）
'-131445516#1',4580784832,1446611175,320508,姑苏区,东E,3,177.93,"MULTILINESTRING((120.62565950122892 31.316622064530584, 120.62613755330015 31.316724888726508, 120.62682946425123 31.31684176779507, 120.62721016001333 31.316901569846276, 120.62748745079283 31.316949988895075))",driveway,悬桥巷,巷（弄）
'-131445516#2',430312146,4580784832,320508,姑苏区,东E,3,64.98,"MULTILINESTRING((120.6249998865023 31.316465912127445, 120.62532157315027 31.31654104252253, 120.62565793290466 31.316621764937118))",driveway,悬桥巷,巷（弄）
